,startTimeInSeconds,timerDurationInSeconds,clockDurationInSeconds,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,totalDistanceInMeters,summaryId,activityId,activityName
0,1652344080,740,802,37.79999923706055,21,159,2.7249999046325684,2016.8800048828125,8807804906-detail,8807804906,Melbourne Running
1,1652344082,742,804,37.79999923706055,21,162,2.7339999675750732,2021.8800048828125,8807804906-detail,8807804906,Melbourne Running
2,1652344085,745,807,37.79999923706055,21,165,2.743000030517578,2030.52001953125,8807804906-detail,8807804906,Melbourne Running
3,1652344089,749,811,37.599998474121094,21,168,2.753000020980835,2042.3199462890625,8807804906-detail,8807804906,Melbourne Running
4,1652344095,755,817,37.599998474121094,21,172,2.76200008392334,2058.530029296875,8807804906-detail,8807804906,Melbourne Running
5,1652344097,757,819,37.400001525878906,21,175,2.7709999084472656,2063.43994140625,8807804906-detail,8807804906,Melbourne Running
6,1652344099,759,821,36.79999923706055,21,176,2.7709999084472656,2068.52001953125,8807804906-detail,8807804906,Melbourne Running
7,1652344103,763,825,36.79999923706055,21,177,2.7709999084472656,2079.77001953125,8807804906-detail,8807804906,Melbourne Running
8,1652344109,769,831,36.400001525878906,21,178,2.76200008392334,2096.889892578125,8807804906-detail,8807804906,Melbourne Running
9,1652344110,770,832,36.20000076293945,21,178,2.7709999084472656,2099.7900390625,8807804906-detail,8807804906,Melbourne Running
10,1652344116,776,838,35.79999923706055,21,177,2.7809998989105225,2116.419921875,8807804906-detail,8807804906,Melbourne Running
11,1652344121,781,843,35.400001525878906,21,177,2.7809998989105225,2130.760009765625,8807804906-detail,8807804906,Melbourne Running
12,1652344127,787,849,35.400001525878906,21,178,2.7990000247955322,2147.760009765625,8807804906-detail,8807804906,Melbourne Running
13,1652344131,791,853,34.79999923706055,21,178,2.809000015258789,2158.2900390625,8807804906-detail,8807804906,Melbourne Running
14,1652344133,793,855,34.79999923706055,21,178,2.809000015258789,2163.340087890625,8807804906-detail,8807804906,Melbourne Running
15,1652344139,799,861,34.400001525878906,21,176,2.799999952316284,2180.5400390625,8807804906-detail,8807804906,Melbourne Running
